"tit_projeto" "descricao" "autor_situacao"
"74" "PROC. 06215/07 - PELO 003/07" "Inclui na lei organica do municipio, no capitulo v a secao x, servicos de vigilantes na camara municipal." "Autor
MARIA LUIZA
Situação
ARQUIVADO"
"75" "PROC. 00408/81 - PELO 049/81" "Da nova redacao ao art. 14 da lei organica do municipio de porto alegre (dispoe sobre o recesso parlamentar)." "Autor
JUSARA GAUTO
Situação
ARQUIVADO"
"76" "PROC. 03836/07 - PELO 002/07" "Inclui inc. xxi no art. 94 da lei organica do municipio de porto alegre, estabelecendo prazo para que o prefeito municipal encaminhe a camara municipal de porto alegre documento firmado contendo a relacao de todos os programas e projetos aprovados e ainda nao-implementados e dos programas e projetos que estiverem em andamento no municipio de..." "Autor
CARLOS COMASSETTO
Situação
ARQUIVADO"
"77" "PROC. 00826/07 - PELO 001/07" "Altera a redacao do art.51 da lei organica do municipio de porto alegre, estabelecendo o periodo de reunioes da camara municipal de porto alegre, bem como a convocacao das comissoes permanentes no periodo de recesso." "Autor
MARIA CELESTE
Situação
ARQUIVADO"
"78" "PROC. 00982/06 - PELO 002/06" "Altera a redacao do caput do art.51 da lei organica do municipio de porto alegre, estabelecendo que o periodo de reunioes da camara municipal de porto alegre, independente de convocacao, passa a ser de 15 de fevereiro a 15 de julho e de 1 de agosto a 3 de janeiro do ano subsequente." "Autor
DR. GOULART, ADELI SELL, ALCEU BRASINHA, ALDACIR OLIBONI, ALMERINDO FILHO, BERNARDINO VENDRUSCOLO, CARLOS COMASSETTO, CARLOS TODESCHINI, CLAUDIO SEBENELO, CLENIA MARANHAO, ELIAS VIDAL, ELOI GUIMARAES, ERVINO BESSON, HAROLDO DE SOUZA, IBSEN PINHEIRO, JOAO ANTONIO DIB, JOAO CARLOS NEDEL, JOSE ISMAEL HEINEN, LUIZ BRAZ, MANUELA D'AVILA, MARCIO BINS ELY, MARGARETE MORAES, MARIA CELESTE, MARIO FRAGA, MARISTELA MAFFEI, MARISTELA MENEGHETTI, MAURICIO DZIEDRICKI, MONICA LEAL., NEREU D'AVILA, NEUZA CANABA
Situação
ARQUIVADO"
"79" "PROC. 00967/06 - PELO 001/06" "Altera a redacao do caput do paragrafo 6, inclui paragrafos 8 e 9 e renumera o atual paragrafo 8 para pargrafo 10, todos do art. 121 da lei organica do municipio de porto alegre, modificando os prazos para encaminhamento dos projetos relativos a lei de diretrizes orcamentarias e ao orcamento anual, a partir do segundo ano de cada legislatura." "Autor
MARIA CELESTE
Situação
ARQUIVADO ART 108"
"80" "PROC. 03031/05 - PELO 009/05" "Altera a redacao do caput art. 81 da lei organica do municipio de porto alegre, passando para sessenta dias o prazo para a inclusao de proposicoes na ordem do dia." "Autor
JOAO ANTONIO DIB
Situação
ARQUIVADO ART 106"
"81" "PROC. 02287/05 - PELO 008/05" "Altera a redacao do 2 e inclui 3 no art. 91 da lei organica do municipio de porto alegre, que trata da substituicao do prefeito no caso de impedimento do presidente da camara de porto alegre." "Autor
JOAO ANTONIO DIB
Situação
ARQUIVADO"
