"tit_projeto" "descricao" "autor_situacao"
"59" "PROC. 00565/19 - PLL 245/19" "DA NOVA REDACAO AO PARAGRAFO UNICO DA LEI Nº 11.299, DE 19 DE JUNHO DE 2012 - INTEGRA AO PATRIMONIO CULTURAL DO MUNICIPIO DE PORTO ALEGRE A MOCAMBO - ASSOCIACAO COMUNITARIA AMIGOS E MORADORES DO BAIRRO CIDADE BAIXA E ARREDORES, COM BASE NO ART. 14 DA LEI COMPLEMENTAR Nº 434, DE 1° DE DEZEMBRO DE 1999 - PLANO DIRETOR DE DESENVOLVIMENTO URBANO..." "Autor
ENGENHEIRO COMASSETTO
Situação
P - PARA CONSULTA"
"60" "PROC. 00564/19 - PLL 244/19" "DESTINA ESPACO NA AREA LOCALIZADA NA AV. PADRE CACIQUE, EM FRENTE AO NUMERO 2000, PARA A INSTALACAO DE ESTATUA EM HOMENAGEM AO MUSICO, COMPOSITOR, RADIALISTA, ATOR E PRODUTOR DE CINEMA VITOR MATEUS TEIXEIRA, CONHECIDO COMO TEIXEIRINHA." "Autor
MARCIO BINS ELY
Situação
P - PARA CONSULTA"
"61" "PROC. 00505/19 - PLL 224/19" "DISPOE SOBRE A CRIACAO DO ''PROGRAMA MEDICO NAS CRECHES'' DO MUNICIPIO DE PORTO ALEGRE E DA OUTRAS PROVIDENCIAS." "Autor
ENGENHEIRO COMASSETTO
Situação
EM TRAMITACAO"
"62" "PROC. 00502/19 - PLL 223/19" "DENOMINA PRACA JOAO FRANCISCO RAMOS ACOSTA CONHECIDA COMO PRACA OITENTA MIL E QUARENTA E OITO, LOCALIZADA NO BAIRRO CHAPEU DO SOL." "Autor
ENGENHEIRO COMASSETTO
Situação
EM TRAMITACAO"
"63" "PROC. 00501/19 - PLL 222/19" "Altera o caput e inclui § 6º no art. 47 da Lei nº 12.518, de 13 de março de 2019, dispondo sobre a realização de procedimento licitatório para a veiculação de publicidade em elementos e equipamentos do mobiliário urbano do Município de Porto Alegre outorgados mediante autorização." "Autor
Ver. Clàudio Janta
Situação
ORDEM DO DIA"
"64" "PROC. 00499/19 - PLL 221/19" "Inclui a efeméride Dia Internacional das Ataxias no Anexo da Lei nº 10.904, de 31 de maio de 2010 – Calendário de Datas Comemorativas e de Conscientização do Município de Porto Alegre –, e alterações posteriores, no dia 25 de setembro." "Autor
Ver. Paulo Brum
Situação
COM PARECER"
"65" "PROC. 00496/19 - PLL 220/19" "Revoga o art. 16 da Lei nº 4.267, de 7 de janeiro de 1977 – que autoriza o Executivo a constituir a Companhia de Processamento de Dados do Município de Porto Alegre – Procempa –, excluindo a vedação de contratação, por órgãos da Administração Direta e Indireta do Município, de equipamentos ou serviços de informática sem a supervisão técnica da..." "Autor
Ver. Felipe Camozzato
Situação
PARA PARECER"
"66" "PROC. 00486/19 - PLL 219/19" "TORNA OBRIGATORIA A DISPONIBILIZACAO DE INSTRUMENTO DE LUPA PARA A VERIFICACAO DE ROTULOS NOS HIPERMERCADOS, SUPERMERCADOS E CONGENERES NA CIDADE DE PORTO ALEGRE." "Autor
PAULINHO MOTORISTA
Situação
P - PARA CONSULTA"
"67" "PROC. 00485/19 - PLL 218/19" "Institui, no Município de Porto Alegre, o Programa Central de Intérpretes da Língua Brasileira de Sinais (Libras) e de Guias Intérpretes para Deficientes Auditivos e Surdocegos." "Autor
Ver. José Freitas
Situação
PARA PARECER"
