"tit_projeto" "descricao" "autor_situacao"
"38" "PROC. 02551/10 - PDL 002/10" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DAS 20H35MIN DO DIA 23 DE JUNHO AS 17H DO DIA 25 DE JUNHO DE 2010, PARA VIAJAR A ARGENTINA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"39" "PROC. 02042/10 - PDL 001/10" "AUTORIZA O PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 28 DE MAIO ATE 7 DE JUNHO DE 2010, PARA VIAJAR A XANGAI (CHINA)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"40" "PROC. 03997/09 - PDL 005/09" "AUTORIZA O PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 18 DE SETEMBRO ATE 27 DE SETEMBRO DE 2009, PARA VIAJAR A PARIS (FRANCA)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"41" "PROC. 03865/09 - PDL 004/09" "AUTORIZA O VICE-PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 3 DE SETEMBRO ATE 4 DE SETEMBRO DE 2009, PARA VIAJAR A ARGENTINA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"42" "PROC. 03238/09 - PDL 003/09" "AUTORIZA O VICE-PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 26 DE JULHO ATE 2 DE AGOSTO DE 2009, PARA VIAJAR A AFRICA DO SUL." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"43" "PROC. 03123/09 - PDL 002/09" "AUTORIZA O PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 24 DE JULHO ATE 31 DE JULHO DE 2009, PARA VIAJAR A WASHINGTON(EUA)." "Autor
